,player,teams
613,Morgan Sanson,"['Le Mans II', 'Le Mans', 'Montpellier', 'Marseille', 'Aston Villa', 'Olympique Mars…', 'Montpellier II']"
614,Jonathan Castro Otto,"['Wolverhampton …', 'Celta Vigo', 'Atlético', 'Wolverhampton', 'Celta de Vigo II']"
615,Jean-Philippe Gbamin,"['Lens II', 'Everton', 'Mainz 05', 'Lens']"
616,Raphael Dias Belloli,"['Rennes', 'Sporting CP', 'Guimarães', 'Vitoria Guimaraes', 'Leeds United U23', 'Vitória Guimar…', 'Leeds United', 'Leeds', 'Avaí']"
617,中島 翔哉,"['Kataller Toyama', 'Al Ain', 'Toyama', 'Porto', 'Al Duhail', 'Tokyo Verdy', 'Tokyo', 'Portimonense']"
618,Jefferson Andrés Lerma Solís,"['AFC Bournemouth', 'Atlético Huila', 'Bournemouth', 'Levante', 'Huila']"
619,Alex Iwobi,"['Everton', 'Arsenal U23', 'Arsenal']"
620,Leandro Cabrera,"['Recreativo Huelva', 'Huelva', 'Hércules', 'Real Madrid', 'Atlético', 'Defensor Sporting', 'Numancia', 'Atletico Madrid', 'Crotone', 'Real Madrid II', 'Espanyol', 'Getafe', 'Real Zaragoza', 'Zaragoza']"
621,Eric Dier,"['Sporting CP', 'Tottenham', 'Tottenham Hotspur', 'Sporting CP II']"
622,Jeison Fabián Murillo Cerón,"['Inter', 'Internazionale', 'Sampdoria', 'Granada', 'Las Palmas', 'Celta Vigo', 'Cádiz', 'Valencia', 'Barcelona']"
623,James Tarkowski,"['Oldham', 'Burnley', 'Brentford', 'Oldham Athletic']"
624,John Anthony Brooks,"['Hertha BSC', 'Wolfsburg', 'Hertha BSC II']"
625,Ross Barkley,"['Chelsea', 'Sheffield Wedn…', 'Sheff Wed', 'Aston Villa', 'Everton', 'Chelsea U23', 'Leeds United', 'Leeds']"
626,Florian Grillitsch,"['Hoffenheim', 'Werder Bremen', 'Werder Bremen II', 'Bremen', 'Werder Bremen U19']"
627,Loris Karius,"['Liverpool', 'Union Berlin', 'Mainz 05', 'Mainz 05 II', 'Beşiktaş']"
628,Maximilian Arnold,"['Wolfsburg II', 'Wolfsburg', 'Wolfsburg U19']"
629,Ricardo Jorge da Luz Horta,"['Vitória Setúbal', 'Braga', 'Sporting Braga', 'Setúbal', 'Málaga']"
630,Léo Dubois,"['Nantes II', 'Olympique Lyonnais', 'Olympique Lyon…', 'Nantes']"
631,Michy Batshuayi Tunga,"['Chelsea', 'Dortmund', 'Standard Liège', 'Marseille', 'Standard', 'Olympique Mars…', 'Chelsea U23', 'Borussia Dortmund', 'Valencia', 'Crystal Palace']"
632,Ruben Aguilar,"['Grenoble', 'Grenoble Foot 38', 'Monaco', 'Auxerre', 'Montpellier', 'Saint-Étienne II', 'Saint-Étienne', 'Auxerre II']"
633,Nick Pope,"['Welling Utd', 'Charlton', 'Aldershot Town', 'Burnley', 'York', 'Bury', 'Cambridge United', 'Charlton Athletic', 'Welling United', 'York City', 'Aldershot']"
634,Sead Kolašinac,"['Arsenal', 'Schalke 04 II', 'Schalke 04']"
635,Shkodran Mustafi,"['Sampdoria', 'Everton', 'Valencia', 'Schalke 04', 'Arsenal']"
636,Fabian Schär,"['La Coruña', 'Newcastle', 'Wil', 'Newcastle United', 'Newcastle Unit…', 'Deportivo La C…', 'Basel', 'Hoffenheim']"
637,Mariano Díaz Mejía,"['Real Madrid III', 'Badalona', 'Lyon', 'Real Madrid', 'Olympique Lyonnais', 'Real Madrid II']"
638,Ben Davies,"['Swansea', 'Tottenham', 'Tottenham Hotspur', 'Swansea City']"
639,Lucas Alario,"['Leverkusen', 'Colón', 'Bayer Leverkusen', 'River Plate']"
640,Fabián Balbuena,"['West Ham Unite…', 'Rubio Ñú', 'West Ham United', 'Dinamo M', 'Cerro PF', 'Corinthians', 'Nacional', 'West Ham', 'Libertad', 'Cerro Porteño PF']"
641,Germán Alejandro Pezzella,"['Fiorentina', 'Betis', 'River Plate', 'Real Betis']"
642,Mbwana Ally Samatta,"['Mazembe', 'Genk', 'Simba', 'Fenerbahçe', 'Aston Villa']"
643,Willy Boly,"['Braga', 'Wolverhampton …', 'Auxerre', 'Sporting Braga', 'Porto', 'Wolverhampton', 'Auxerre II', 'Sporting Braga II']"
644,Danny  Vieira da Costa,"['Ingolstadt II', 'Bayer Leverkus…', 'Leverkusen', 'Bayer Leverkusen', 'Eintracht Fran…', 'Mainz 05', 'Ingolstadt', 'Frankfurt']"
645,Ruslan Malinovskyi,"['Shakhtar D', 'Sevastopol', 'Sevastopol II', 'Genk', 'Atalanta', 'Shakhtar Donet…', 'Zorya']"
646,Diego Carlos Santos Silva,"['Porto II', 'Estoril', 'Nantes', 'Madureira', 'Porto', 'Sevilla', 'São Paulo', 'Paulista']"
647,Andrey Lunev,"['Zenit', 'Torpedo', 'Istra', 'Torpedo Moskva', 'Saturn', 'Ufa', 'Saturn Ramenskoye', 'Kaluga']"
648,Mamadou Sakho,"['Liverpool', 'Liverpool U23', 'Crystal Palace U23', 'PSG II', 'PSG', 'Crystal Palace']"
649,Haris Seferović,"['Xamax', 'Eintracht Fran…', 'Lecce', 'Real Sociedad', 'Neuchâtel Xamax', 'Fiorentina', 'Benfica', 'Novara', 'Frankfurt', 'Grasshopper']"
650,Serge Aurier,"['Toulouse II', 'Tottenham', 'Lens II', 'PSG II', 'Tottenham Hotspur', 'PSG', 'Lens', 'Toulouse']"
651,Karl Brillant Toko Ekambi,"['Paris FC II', 'Lyon', 'Paris', 'Paris FC', 'Villarreal', 'Olympique Lyonnais', 'Sochaux', 'Angers', 'Angers SCO']"
652,Téji Savanier,"['Arles-Avignon', 'Nîmes', 'Arles-Avignon II', 'Montpellier']"
653,Frederico R. de Paula Santos,"['Shakhtar D', 'Manchester United', 'Shakhtar Donetsk', 'Man Utd', 'Internacional']"
654,Phil Jones,"['Blackburn Rovers', 'Man Utd', 'Manchester United', 'Blackburn']"
655,Joshua King,"[""Borussia M'gla…"", 'AFC Bournemouth', 'Hull City', 'Manchester United', 'Bournemouth', 'Preston North End', 'Blackburn', 'Blackburn Rovers', 'Hull', 'Man Utd', ""M'gladbach"", 'Everton', 'Preston']"
656,Víctor Laguardia Cisneros,"['Alavés', 'Alcorcón', 'Las Palmas', 'Zaragoza', 'Real Zaragoza', 'Deportivo Alavés']"
657,Santiago Arias Naranjo,"['PSV', 'Sporting CP', 'Bayer Leverkusen', 'Leverkusen', 'La Equidad', 'Atlético', 'PSV II', 'Atletico Madrid', 'Equidad', 'Sporting CP II']"
658,Kenny Lala,"['Paris', 'Paris FC', 'Strasbourg', 'Strasbourg II', 'Valenciennes II', 'Lens', 'Valenciennes', 'Olympiakos']"
659,Leonardo Spinazzola,"['Roma', 'Juventus', 'Siena', 'Empoli', 'Perugia', 'Atalanta', 'Virtus Lanciano', 'Vicenza', 'Lanciano']"
660,Daniele Baselli,"['Atalanta', 'Cittadella', 'Torino']"
661,Davide Zappacosta,"['Roma', 'Chelsea', 'Genoa', 'Atalanta', 'Avellino', 'Torino']"
662,Salomon Armand Magloire Kalou,"['Chelsea', 'Lille', 'Hertha BSC', 'Botafogo', 'Excelsior', 'Feyenoord']"
663,武磊,"['Shanghai Port', 'Espanyol']"
664,Borja Valero Iglesias,"['Inter', 'West Bromwich …', 'Internazionale', 'Mallorca', 'Villarreal', 'Real Madrid', 'West Bromwich', 'Fiorentina', 'Real Madrid II']"
665,Mathieu Debuchy,"['Newcastle', 'Lille', 'Newcastle United', 'Saint-Etienne', 'Bordeaux', 'Saint-Étienne', 'Arsenal U23', 'Arsenal']"
666,David Villa Sánchez,"['NYCFC', 'Vissel Kobe', 'Melbourne City', 'Gijón', 'Atlético', 'New York City', 'Atletico Madrid', 'Valencia', 'Barcelona', 'Zaragoza', 'Real Zaragoza']"
667,Leonardo Carrilho Baptistão,"['Rayo Vallecano II', 'Villarreal', 'Vallecano', 'Betis', 'Atlético', 'Atletico Madrid', 'Espanyol', 'Wuhan FC', 'Rayo Vallecano', 'Real Betis']"
668,Burak Yılmaz,"['Manisaspor', 'Guoan', 'Beşiktaş', 'Lille', 'Eskişehirspor', 'Fenerbahçe', 'Antalyaspor', 'Trabzonspor', 'Galatasaray', 'Beijing Guoan']"
669,Joël Veltman,"['Ajax II', 'Brighton', 'Ajax', 'Brighton & Hov…']"
670,Antonio Mirante,"['Roma', 'Bologna', 'Juventus', 'Siena', 'Sampdoria', 'Crotone', 'Parma']"
671,Dante Bonfim da Costa Santos,"[""Borussia M'gla…"", 'Lille', 'Bayern München', 'Sporting Charleroi', 'Charleroi', 'Standard Liège', ""M'gladbach"", 'Standard', 'Wolfsburg', 'Juventude', 'Bayern Munich', 'Nice']"
672,Diego Hernán Váleri,"['Portland Timbers', 'Portland', 'Porto', 'Lanús', 'Argentina', 'Almería']"
673,Domenico Criscito,"['Zenit', 'Juventus', 'Genoa']"
674,Augusto Matías Fernández,"['Vélez Sarsfield', 'River Plate', 'Saint-Etienne', 'Celta Vigo', 'Vélez', 'Beijing Chengfeng', 'Atlético', 'Atletico Madrid', 'Saint-Étienne', 'Cádiz', 'Chengfeng']"
675,Antonio Candreva,"['Ternana', 'Juventus', 'Inter', 'Internazionale', 'Sampdoria', 'Lazio', 'Cesena', 'Livorno', 'Udinese', 'Parma']"
676,Ezequiel Iván Lavezzi,"['Estudiantes', 'Napoli', 'San Lorenzo', 'Hebei', 'PSG']"
677,Martin Škrtel,"['Zenit', 'Istanbul Basak…', 'Liverpool', 'Fenerbahçe', 'Atalanta', 'Başakşehir', 'Trenčín']"
678,Niklas Moisander,"['Zwolle', 'TPS', 'Sampdoria', 'Ajax II', 'PEC Zwolle', 'Werder Bremen', 'Ajax', 'Bremen', 'AZ']"
679,Iván Marcano Sierra,"['Roma', 'Rubin Kazan', 'Villarreal', 'Porto', 'Olympiakos Piraeus', 'Racing Santander', 'Rubin', 'Santander', 'Getafe', 'Olympiakos']"
680,Jonny Evans,"['West Bromwich …', 'Manchester United', 'Leicester City', 'Antwerp', 'West Bromwich', 'Man Utd', 'Leicester', 'Sunderland']"
681,Esteban Félix Granero Molina,"['QPR', 'Real Madrid', 'Real Sociedad', 'Real Madrid II', 'Marbella', 'Espanyol', 'Getafe', 'Queens Park Ra…']"
682,Ignacio Monreal Eraso,"['Real Sociedad', 'Málaga', 'Osasuna', 'Arsenal']"
683,Ruud Vormer,"['Club Brugge', 'Roda JC', 'Roda', 'Feyenoord', 'AZ']"
684,Kevin-Prince Boateng,"['Tottenham', 'Portsmouth', 'Dortmund', 'Las Palmas', 'Hertha BSC', 'Eintracht Fran…', 'Milan', 'Monza', 'Genoa', 'Hertha BSC II', 'Fiorentina', 'Borussia Dortmund', 'Barcelona', 'Schalke 04', 'Tottenham Hotspur', 'Frankfurt', 'Beşiktaş', 'Sassuolo']"
685,Anthony Modeste,"['Tianjin', 'Saint-Etienne', 'Köln', 'Hoffenheim', 'Bastia', 'BordeauxII', 'Blackburn Rovers', 'Bordeaux', 'Saint-Étienne', 'Blackburn', 'Tianjin Tianhai', 'Angers', 'Angers SCO', 'Nice']"
686,Kwadwo Asamoah,"['Inter', 'Juventus', 'Udinese', 'Internazionale']"
687,Nahuel Ignacio Guzmán,"['Tigres UANL', 'Independiente …', 'Independiente', ""Newell's Old Boys"", 'Tigres', 'NOB']"
688,Séamus Coleman,"['Sligo', 'Everton', 'Blackpool', 'Sligo Rovers']"
689,Max-Alain Gradel,"['AFC Bournemouth', 'Saint-Etienne', 'Bournemouth', 'Leicester City', 'Saint-Étienne II', 'Saint-Étienne', 'Leeds United', 'Leicester', 'Leeds', 'Toulouse', 'Sivasspor']"
690,Adam David Lallana,"['Liverpool', 'Brighton', 'Liverpool U23', 'Brighton & Hov…', 'Southampton']"
691,Mariano Ferreira Filho,"['Ipatinga', 'Atlético Mineiro', 'Fluminense', 'Bordeaux', 'Galatasaray', 'Sevilla', 'Atl. Mineiro', 'Cruzeiro']"
692,Ömer Toprak,"['Leverkusen', 'Bayer Leverkusen', 'Dortmund', 'Werder Bremen', 'Borussia Dortmund', 'Freiburg', 'Bremen']"
693,Alex Teixeira dos Santos,"['Vasco da Gama', 'Shakhtar D', 'Jiangsu', 'Shakhtar Donetsk', 'Jiangsu FC', 'Vasco']"
694,Éder Citadin Martins,"['Inter', 'Jiangsu', 'Internazionale', 'Empoli', 'Sampdoria', 'Frosinone', 'Jiangsu FC', 'Cesena', 'São Paulo', 'Brescia']"
695,Sven Ulreich,"['Stuttgart II', 'Hamburger SV', 'Stuttgart', 'Bayern München', 'Bayern Munich', 'Hamburg']"
696,Senad Lulić,"['Grasshopper', 'Young Boys', 'Lazio']"
697,Cristhian Ricardo Stuani Curbelo,"['Middlesbrough', 'Danubio', 'Levante', 'Albacete', 'Racing Santander', 'Santander', 'Reggina', 'Espanyol', 'Girona']"
698,José Salomón Rondón Giménez,"['Zenit', 'West Bromwich …', 'Newcastle', 'Las Palmas', 'Newcastle United', 'Rubin Kazan', 'CSKA', 'West Bromwich', 'CSKA Moscow', 'Dalian Pro', 'Málaga', 'Rubin']"
699,Nikola Kalinić,"['Roma', 'Milan', 'Atlético', 'Blackburn', 'Blackburn Rovers', 'Hajduk Split', 'Atletico Madrid', 'Hajduk', 'Fiorentina', 'Dnipro', 'Šibenik', 'Dnipro Dniprop…']"
700,Yuri Berchiche Izeta,"['Athletic Club', 'Tottenham', 'Cheltenham Town', 'Real Valladolid', 'Cheltenham', 'Real Sociedad', 'Valladolid', 'Eibar', 'PSG', 'Real Unión']"
701,Ángel Luís Rodríguez Díaz,"['Elche', 'Levante', 'Eibar', 'Tenerife', 'Getafe', 'Real Zaragoza', 'Zaragoza']"
702,香川 真司,"['PAOK', 'Dortmund', 'Manchester United', 'Cerezo Osaka', 'Man Utd', 'Borussia Dortmund', 'Cerezo', 'Zaragoza', 'Real Zaragoza', 'Beşiktaş', 'Borussia Dortm…']"
703,Maicon Pereira Roque,"['Porto II', 'Porto', 'Galatasaray', 'Al Nassr', 'Nassr', 'Nacional', 'São Paulo']"
704,Enrique García Martínez,"['Middlesbrough', 'Osasuna', 'Murcia', 'Eibar', 'Real Murcia']"
705,Iago Falqué Silva,"['Roma', 'Juventus', 'Tottenham', 'Villarreal', 'Vallecano', 'Genoa', 'Southampton', 'Tottenham Hotspur', 'Almería', 'Villarreal II', 'Barcelona', 'Benevento', 'Bari', 'Torino', 'Rayo Vallecano']"
706,Sergio Escudero Palomo,"['Murcia', 'Schalke 04 II', 'Real Murcia', 'Schalke 04', 'Getafe', 'Sevilla']"
707,Fabián Orellana,"['Audax', 'Granada', 'Celta Vigo', 'Real Valladolid', 'Xerez', 'Audax Italiano', 'Valladolid', 'Eibar', 'Valencia', 'Udinese']"
708,Vicente Guaita Panadero,"['Recreativo Huelva', 'Huelva', 'Valencia', 'Crystal Palace', 'Getafe']"
709,Jack Wilshere,"['Bolton', 'West Ham Unite…', 'AFC Bournemouth', 'West Ham United', 'Bournemouth', 'Arsenal U23', 'West Ham', 'Bolton Wanderers', 'Arsenal']"
710,José Ángel Valdés Díaz,"['Roma', 'Sporting Gijón', 'Villarreal', 'Gijón', 'Porto', 'Real Sociedad', 'Eibar']"
711,Javier Matías Pastore,"['Roma', 'Huracán', 'Palermo', 'PSG']"
712,Mario Gaspar Pérez Martínez,"['Villarreal II', 'Villarreal']"
713,艾克森,"['Botafogo', 'Vitória', 'Guangzhou FC', 'Shanghai Port']"
714,Andriy Yarmolenko,"['Dynamo Kyiv', 'West Ham Unite…', 'Dortmund', 'West Ham United', 'Borussia Dortmund', 'West Ham']"
715,Wahbi Khazri,"['Rennes', 'Saint-Etienne', 'Bordeaux', 'Bastia', 'Saint-Étienne', 'Sunderland']"
716,Víctor Ruíz Torre,"['Villarreal', 'Napoli', 'Betis', 'Valencia', 'Espanyol', 'Beşiktaş', 'Real Betis']"
717,Nicolas Pallois,"['Laval', 'Bordeaux', 'Niort', 'Nantes', 'BordeauxII', 'Nantes II', 'Valenciennes']"
718,Daniel Caligiuri,"['Wolfsburg', 'Freiburg', 'Schalke 04', 'Freiburg II', 'Augsburg']"
719,Enzo Pérez,"['Estudiantes', 'Valencia', 'River Plate', 'Benfica']"
720,Ishak Belfodil,"['Bologna', 'Inter', 'Lyon', 'Internazionale', 'Hoffenheim', 'Standard Liège', 'Werder Bremen', 'Standard', 'Olympique Lyonnais', 'Olympique Lyon…', 'Bani Yas', 'Livorno', 'Parma', 'Bremen']"
721,Iago Herrerín Buisán,"['Atlético Madrid II', 'Athletic Club', 'Leganes', 'Atlético', 'Numancia']"
722,Carlos Arturo Bacca Ahumada,"['Club Brugge', 'Barranquilla', 'Milan', 'Villarreal', 'Sevilla', 'Junior']"
723,Milan Badelj,"['Hamburger SV', 'Genoa', 'Dinamo Zagreb', 'Fiorentina', 'Hamburg', 'Lazio']"
724,Anton Ciprian Tătărușanu,"['Lyon', 'Nantes', 'Gloria Bistriţa', 'Olympique Lyonnais', 'Fiorentina', 'FCSB']"
725,Danilo Luiz da Silva,"['Juventus', 'América Mineiro', 'Real Madrid', 'Santos', 'Porto', 'Manchester City', 'Man City']"
726,Mário Rui Silva Duarte,"['Roma', 'Fátima', 'Empoli', 'Gubbio', 'Napoli', 'Benfica', 'Spezia']"
727,Andreas Samaris,"['Panionios', 'Benfica', 'Olympiakos Piraeus', 'Olympiakos']"
728,Abderrazak Hamdallah,"['Rayyan', 'Al Rayyan', 'Al Nassr', 'Nassr', 'El Jaish', 'Guangzhou City', 'Aalesund', 'Jaish']"
729,乾 貴士,"['Alavés', 'Bochum', 'Eintracht Fran…', 'Betis', 'Cerezo Osaka', 'Eibar', 'Cerezo', 'Frankfurt', 'Deportivo Alavés', 'Real Betis']"
730,Rubén Peña Jiménez,"['Leganes', 'Real Valladolid', 'Villarreal', 'Guijuelo', 'Valladolid', 'Eibar']"
731,Jonas Hector,"['Köln', 'Köln II']"
732,Roque Mesa Quevedo,"['Swansea', 'Leganes', 'Las Palmas', 'Real Valladolid', 'Baleares', 'Swansea City', 'Sevilla', 'Las Palmas II', 'Atlético Baleares']"
733,Damián Nicolás Suárez Suárez,"['Sporting Gijón', 'Elche', 'Gijón', 'Defensor Sporting', 'Def. Sporting', 'Getafe']"
734,Víctor Machín Pérez,"['Las Palmas', 'Sevilla', 'Atletico Madrid', 'Atlético']"
735,Denis Cheryshev,"['Real Madrid', 'Villarreal', 'Real Madrid II', 'Valencia', 'Sevilla']"
736,Francisco das Chagas Soares dos Santos,"['Pelotas', 'Guimarães', 'Vitoria Guimaraes', 'Treze', 'Cerâmica', 'Tianjin', 'Porto', 'Veranópolis', 'América RN', 'Tianjin Tigers', 'Nacional', 'Olympiakos']"
737,Melvin Luan Parrela Porfírio,[]
738,Dyego Wilverson Ferreira Sousa,"['Braga', 'Leixões', 'Sporting Braga', 'Famalicão', 'Marítimo', 'Tondela', 'Interclube', 'Benfica', 'Shenzhen', 'Marítimo II', 'Portimonense']"
739,Darío Benedetto,"['Def y Justicia', 'Boca Juniors', 'América', 'Defensa y Justicia', 'Marseille', 'Tijuana', 'Olympique Mars…', 'Gimnasia Jujuy', 'Gimn Jujuy', 'Arsenal']"
740,Leonardo Sigali,"['Racing Club', 'Dinamo Zagreb II', 'Godoy Cruz', 'Lanús', 'Dinamo Zagreb']"
741,José Luís Mendes Andrade,"['Fehérvár', 'Lokomotiv Moscow', 'Braga', 'Gil Vicente', 'Sporting Braga', 'Lokomotiv M', 'Porto', 'Spartak M', 'Spartak Moscow', 'Sporting Braga II']"
742,Enzo Martín Riquero,[]
743,Petros Matheus dos Santos Araujo,"['Boa', 'Penapolense', 'Betis', 'Al Nassr', 'Nassr', 'Corinthians', 'Fluminense de …', 'São Paulo', 'Real Betis']"
744,Raúl Michel Melo da Silva,"['Braga', 'Arapongas', 'Sporting Braga', 'Sport Recife', 'Ceará', 'Marítimo', 'Criciúma', 'Paysandu', 'Figueirense']"
745,Maikel Renan Catarino Fagundes,[]
746,Bernard Gabriel Prestão Chaves,[]
747,A. Benjamin Chiamuloira Paes,[]
748,Declan Rice,"['West Ham Unite…', 'West Ham United']"
749,Rubén Alcaraz Jiménez,"['Real Valladolid', 'Gramenet', 'Valladolid', 'Almería', ""L'Hospitalet"", 'Prat', 'Girona']"
750,Luan Vágner Boas Macedo,[]
751,Daniel Martín Lenzado,[]
752,Florian Neuhaus,"[""Borussia M'gla…"", '1860 München II', 'Düsseldorf', 'Fortuna Dusseldorf', ""M'gladbach"", '1860 München U19', '1860 München']"
753,Leandro Miguel Sáreda,[]
754,Enzo Manuel Aguerro,[]
755,Alex Meret,"['SPAL', 'Udinese', 'Napoli']"
756,Ismaïla Sarr,"['Metz', 'Watford', 'Rennes']"
757,Matías Zaracho,"['Racing Club', 'Atlético Mineiro', 'Atl. Mineiro']"
758,Issa Diop,"['Toulouse II', 'West Ham', 'Toulouse', 'West Ham United']"
759,Joachim Andersen,"['Twente II', 'Lyon', 'Sampdoria', 'Olympique Lyonnais', 'Twente', 'Fulham']"
760,Denis Lemi Zakaria Lako Lado,"[""Borussia M'gla…"", ""M'gladbach"", 'Young Boys', 'Servette']"
761,Henry Onyekuru,"['AS Eupen', 'Monaco', 'Eupen', 'Galatasaray', 'Everton', 'Anderlecht']"
762,Francisco Reis Ferreira,"['Benfica II', 'Benfica', 'Valencia']"
763,Cengiz Ünder,"['Roma', 'Istanbul Basak…', 'Leicester City', 'Altınordu', 'Marseille', 'Başakşehir', 'Leicester']"
764,Nanitamo Jonathan Ikoné,"['Lille', 'PSG II', 'Montpellier', 'PSG', 'Montpellier II']"
765,Nadiem Amiri,"['Leverkusen', 'Bayer Leverkusen', 'Hoffenheim II', 'Hoffenheim', 'Hoffenheim U19']"
766,Martin Ødegaard,"['Strømsgodset', 'Heerenveen', 'Real Madrid', 'Real Sociedad', 'Real Madrid II', 'Vitesse', 'Arsenal']"
767,Jean-Philippe Mateta,"['Le Havre', 'Lyon', 'Châteauroux', 'Mainz 05', 'Crystal Palace U23', 'Olympique Lyonnais', 'Olympique Lyon…', 'Châteauroux II', 'Crystal Palace']"
768,Jonathan Bamba,"['Sint-Truiden', 'Paris', 'Lille', 'Paris FC', 'Saint-Etienne', 'Saint-Étienne II', 'Saint-Étienne', 'Angers', 'Angers SCO', 'Angers SCO II']"
769,Mahmoud Dahoud,"[""Borussia M'gla…"", 'Dortmund', ""M'gladbach"", ""Borussia M'bac…"", 'Borussia Dortmund']"
770,Bryan Cristante,"['Roma', 'Pescara', 'Milan', 'Atalanta', 'Palermo', 'Benfica']"
771,Leander Dendoncker,"['Anderlecht', 'Wolverhampton', 'Wolverhampton …']"
772,Oleksandr Zinchenko,"['PSV', 'Shakhtar D', 'Ufa', 'PSV II', 'Manchester City', 'Man City']"
773,Okay Yokuşlu,"['West Bromwich …', 'Kayserispor', 'Celta Vigo', 'West Bromwich', 'Trabzonspor', 'Kayseri', 'Altay']"
774,Georgiy Dzhikiya,"['Lokomotiv Moscow', 'Amkar', 'Amkar Perm', ""Spartak Nal'chik"", 'Lokomotiv M', 'Spartak M', 'Spartak', 'Spartak Moscow', 'Lokomotiv-2', 'Khimik', 'Khimik Dzerzhinsk']"
775,Nico Elvedi,"[""Borussia M'gla…"", 'Zürich', ""M'gladbach""]"
776,Gaëtan  Laborde,"['Bordeaux', 'BordeauxII', 'Montpellier', 'Clermont', 'Brest', 'Red Star']"
777,Daniel Castelo Podence,"['Sporting CP', 'Wolverhampton …', 'Moreirense', 'Olympiakos Piraeus', 'Wolverhampton', 'Olympiakos', 'Sporting CP II']"
778,Aarón Martín Caricol,"['Espanyol II', 'Celta Vigo', 'Mainz 05', 'Espanyol']"
779,Nemanja Maksimović,"['Getafe', 'Astana', 'Domžale', 'Valencia']"
780,Erick Pulgar,"['Bologna', 'Univ Católica', 'Universidad Ca…', 'Antofagasta', 'Deportivo Anto…', 'Fiorentina']"
781,Óliver Torres Muñoz,"['Atlético Madrid II', 'Villarreal', 'Porto', 'Atlético', 'Atletico Madrid', 'Sevilla']"
782,Rodrigo Javier De Paul,"['Racing Club', 'Udinese', 'Valencia']"
783,Fernando Calero Villa,"['Valladolid', 'Real Valladolid', 'Real Valladolid II', 'Espanyol']"
784,Davie Selke,"['RB Leipzig', 'Hertha BSC', 'Werder Bremen', 'Werder Bremen II', 'Leipzig', 'Hoffenheim U19', 'Bremen', 'Werder Bremen U19']"
785,Baptiste Santamaria,"['Tours II', 'Tours', 'Freiburg', 'Angers', 'Angers SCO']"
786,Wílmar Enrique Barrios Terán,"['Dep. Tolima', 'Zenit', 'Boca Juniors', 'Deportes Tolima']"
787,Joelinton Apolinário de Lira,"['Newcastle', 'Newcastle United', 'Sport Recife', 'Hoffenheim', 'Rapid', 'Rapid Wien', 'Sport']"
788,Mario Lemina,"['Juventus', 'Marseille', 'Lorient II', 'Galatasaray', 'Olympique Mars…', 'Southampton', 'Fulham', 'Lorient']"
789,Jack Butland,"['Derby County', 'Stoke City', 'Cheltenham Town', 'Stoke City U23', 'Derby', 'Crystal Palace U23', 'Barnsley', 'Cheltenham', 'Birmingham City', 'Birmingham', 'Leeds United', 'Crystal Palace', 'Leeds', 'Stoke']"
790,Lucas Tousart,"['Lyon', 'Hertha BSC', 'Valenciennes II', 'Olympique Lyonnais', 'Olympique Lyon…', 'Valenciennes']"
791,Enis Bardhi,"['Levante', 'Újpest']"
792,Rúben Miguel Nunes Vezo,"['Vitória Setúbal', 'Granada', 'Setúbal', 'Levante', 'Valencia']"
793,Divock Origi,"['Lille', 'Liverpool', 'Lille II', 'Liverpool U23', 'Wolfsburg']"
794,Aleksey Miranchuk,"['Atalanta', 'Lokomotiv Moscow', 'Lokomotiv M']"
795,Juan Musso,"['Racing Club', 'Udinese']"
796,Yerry Mina,"['Deportivo Pasto', 'Palmeiras', 'Independiente …', 'Santa Fe', 'Everton', 'Barcelona', 'Pasto']"
797,Yusuf Yazıcı,"['Trabzonspor', 'Lille']"
798,Joan Jordán Moreno,"['Real Valladolid', 'Valladolid', 'Eibar', 'Espanyol', 'Sevilla', 'Espanyol II']"
799,Michael Gregoritsch,"['Kapfenberger SV II', 'Hamburger SV', 'St. Pauli II', 'Bochum', 'Hoffenheim II', 'Hoffenheim', 'Kapfenberg', 'Kapfenberger SV', 'Schalke 04', 'St. Pauli', 'Hamburg', 'Augsburg']"
