Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
542,2011-11-23,Champions Lg,Group stage,Away,Barcelona,Milan,Y,,,,,31,1-1,,,,,,,
543,2011-11-19,La Liga,Matchweek 13,Home,Barcelona,Zaragoza,Y,,,,,42,1-0,Roberto,,,,,,
,,,,,,,,,,,,,,,,,,,,
544,2011-11-15,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Colombia,Y*,,,,,60,0-1,David Ospina,,,,,,
,,,,,,,,,,,,,,,,,,,,
545,2011-11-06,La Liga,Matchweek 12,Away,Barcelona,Athletic Club,Y,,,,,90+1,1-2,Gorka Iraizoz,,,,,,
546,2011-11-01,Champions Lg,Group stage,Away,Barcelona,Viktoria Plzeň,Y,,,,,90+2,3-0,,,,,,,
547,2011-11-01,Champions Lg,Group stage,Away,Barcelona,Viktoria Plzeň,Y,,,,,47,1-0,,,,,,,
548,2011-11-01,Champions Lg,Group stage,Away,Barcelona,Viktoria Plzeň,Y,,,,,24,0-0,,,,,,,
549,2011-10-29,La Liga,Matchweek 11,Home,Barcelona,Mallorca,Y,,,,,29,2-0,Dudu Aouate,,,,,,
550,2011-10-29,La Liga,Matchweek 11,Home,Barcelona,Mallorca,Y,,,,,21,1-0,Dudu Aouate,,,,,,
551,2011-10-29,La Liga,Matchweek 11,Home,Barcelona,Mallorca,Y,,,,,12,0-0,Dudu Aouate,,,,,,
552,2011-10-15,La Liga,Matchweek 8,Home,Barcelona,Racing Sant,Y,,,,,68,2-0,Toño,,,,,,
553,2011-10-15,La Liga,Matchweek 8,Home,Barcelona,Racing Sant,Y,,,,,11,0-0,Toño,,,,,,
,,,,,,,,,,,,,,,,,,,,
554,2011-10-07,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Chile,Y,,,,,25,1-0,Claudio Bravo,,,,,,
,,,,,,,,,,,,,,,,,,,,
555,2011-09-28,Champions Lg,Group stage,Away,Barcelona,BATE Borisov,Y,,,,,56,3-0,,,,,,,
556,2011-09-28,Champions Lg,Group stage,Away,Barcelona,BATE Borisov,Y,,,,,38,2-0,,,,,,,
557,2011-09-24,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,,,,,90+1,4-0,Thibaut Courtois,,,,,,
558,2011-09-24,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,,,,,78,3-0,Thibaut Courtois,,,,,,
559,2011-09-24,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,,,,,26,2-0,Thibaut Courtois,,,,,,
560,2011-09-17,La Liga,Matchweek 4,Home,Barcelona,Osasuna,Y,,,,,78,7-0,Andrés Fernández,,,,,,
561,2011-09-17,La Liga,Matchweek 4,Home,Barcelona,Osasuna,Y,,,,,40,4-0,Andrés Fernández,,,,,,
562,2011-09-17,La Liga,Matchweek 4,Home,Barcelona,Osasuna,Y,,,,,4,0-0,Andrés Fernández,,,,,,
563,2011-08-29,La Liga,Matchweek 2,Home,Barcelona,Villarreal,Y,,,,,74,4-0,Diego López,,,,,,
564,2011-08-29,La Liga,Matchweek 2,Home,Barcelona,Villarreal,Y,,,,,51,3-0,Diego López,,,,,,
565,2011-05-28,Champions Lg,Final,Neutral,Barcelona,Manchester Utd,Y,,,,,54,1-1,,,,,,,
566,2011-04-27,Champions Lg,Semi-finals,Away,Barcelona,Real Madrid,Y,,,,,87,1-0,,,,,,,
567,2011-04-27,Champions Lg,Semi-finals,Away,Barcelona,Real Madrid,Y,,,,,76,0-0,,,,,,,
568,2011-04-23,La Liga,Matchweek 33,Home,Barcelona,Osasuna,N,,,,,69,1-0,Ricardo,,,,,,
569,2011-04-16,La Liga,Matchweek 32,Away,Barcelona,Real Madrid,Y,,,,,51,0-0,Iker Casillas,,,,,,
570,2011-04-12,Champions Lg,Quarter-finals,Away,Barcelona,Shakhtar,Y,,,,,43,0-0,,,,,,,
571,2011-04-09,La Liga,Matchweek 31,Home,Barcelona,Almería,Y,,,,,90+2,2-1,Diego Alves,,,,,,
572,2011-04-09,La Liga,Matchweek 31,Home,Barcelona,Almería,Y,,,,,52,0-1,Diego Alves,,,,,,
573,2011-03-08,Champions Lg,Round of 16,Home,Barcelona,Arsenal,Y,,,,,71,2-1,,,,,,,
574,2011-03-08,Champions Lg,Round of 16,Home,Barcelona,Arsenal,Y,,,,,48,0-0,,,,,,,
575,2011-03-02,La Liga,Matchweek 26,Away,Barcelona,Valencia,Y,,,,,76,0-0,Vicente Guaita,,,,,,
576,2011-02-26,La Liga,Matchweek 25,Away,Barcelona,Mallorca,Y,,,,,38,0-0,Dudu Aouate,,,,,,
577,2011-02-20,La Liga,Matchweek 24,Home,Barcelona,Athletic Club,Y,,,,,77,1-1,Gorka Iraizoz,,,,,,
578,2011-02-05,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,,,,,79,2-0,David de Gea,,,,,,
579,2011-02-05,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,,,,,28,1-0,David de Gea,,,,,,
580,2011-02-05,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,,,,,17,0-0,David de Gea,,,,,,
581,2011-01-29,La Liga,Matchweek 21,Away,Barcelona,Hércules,Y,,,,,89,2-0,Juan Calatayud,,,,,,
582,2011-01-29,La Liga,Matchweek 21,Away,Barcelona,Hércules,Y,,,,,87,1-0,Juan Calatayud,,,,,,
583,2011-01-22,La Liga,Matchweek 20,Home,Barcelona,Racing Sant,Y,,,,,33,1-0,Toño,,,,,,
584,2011-01-08,La Liga,Matchweek 18,Away,Barcelona,La Coruña,Y,,,,,51,1-0,Daniel Aranzubia,,,,,,
585,2010-12-12,La Liga,Matchweek 15,Home,Barcelona,Real Sociedad,Y,,,,,86,3-0,Claudio Bravo,,,,,,
586,2010-12-12,La Liga,Matchweek 15,Home,Barcelona,Real Sociedad,Y,,,,,46,2-0,Claudio Bravo,,,,,,
587,2010-12-04,La Liga,Matchweek 14,Away,Barcelona,Osasuna,Y,,,,,82,2-0,Ricardo,,,,,,
588,2010-12-04,La Liga,Matchweek 14,Away,Barcelona,Osasuna,Y,,,,,64,1-0,Ricardo,,,,,,
589,2010-11-24,Champions Lg,Group stage,Away,Barcelona,Panathinaikos,Y,,,,,62,1-0,,,,,,,
590,2010-11-20,La Liga,Matchweek 12,Away,Barcelona,Almería,Y,,,,,66,6-0,Diego Alves,,,,,,
591,2010-11-20,La Liga,Matchweek 12,Away,Barcelona,Almería,Y,,,,,36,4-0,Diego Alves,,,,,,
592,2010-11-20,La Liga,Matchweek 12,Away,Barcelona,Almería,Y,,,,,16,0-0,Diego Alves,,,,,,
593,2010-11-13,La Liga,Matchweek 11,Home,Barcelona,Villarreal,Y,,,,,83,2-1,Diego López,,,,,,
594,2010-11-13,La Liga,Matchweek 11,Home,Barcelona,Villarreal,Y,,,,,58,1-1,Diego López,,,,,,
595,2010-11-07,La Liga,Matchweek 10,Away,Barcelona,Getafe,Y,,,,,22,0-0,Jordi Codina,,,,,,
596,2010-11-02,Champions Lg,Group stage,Away,Barcelona,FC Copenhagen,Y,,,,,31,0-0,,,,,,,
597,2010-10-30,La Liga,Matchweek 9,Home,Barcelona,Sevilla,Y,,,,,63,3-0,Javi Varas,,,,,,
598,2010-10-30,La Liga,Matchweek 9,Home,Barcelona,Sevilla,Y,,,,,3,0-0,Javi Varas,,,,,,
599,2010-10-23,La Liga,Matchweek 8,Away,Barcelona,Zaragoza,Y,,,,,66,1-0,Toni Doblas,,,,,,
600,2010-10-23,La Liga,Matchweek 8,Away,Barcelona,Zaragoza,Y,,,,,42,0-0,Toni Doblas,,,,,,
601,2010-10-20,Champions Lg,Group stage,Home,Barcelona,FC Copenhagen,Y,,,,,90+2,1-0,,,,,,,
602,2010-10-20,Champions Lg,Group stage,Home,Barcelona,FC Copenhagen,Y,,,,,19,0-0,,,,,,,
603,2010-10-03,La Liga,Matchweek 6,Home,Barcelona,Mallorca,Y,,,,,20,0-0,Dudu Aouate,,,,,,
604,2010-09-19,La Liga,Matchweek 3,Away,Barcelona,Atlético Madrid,Y,,,,,13,0-0,David de Gea,,,,,,
605,2010-09-14,Champions Lg,Group stage,Home,Barcelona,Panathinaikos,Y,,,,,45,2-1,,,,,,,
606,2010-09-14,Champions Lg,Group stage,Home,Barcelona,Panathinaikos,Y,,,,,22,0-1,,,,,,,
607,2010-08-29,La Liga,Matchweek 1,Away,Barcelona,Racing Sant,Y,,,,,4,0-0,Toño,,,,,,
608,2010-05-16,La Liga,Matchweek 38,Home,Barcelona,Valladolid,Y,,,,,75,3-0,Jacobo,,,,,,
609,2010-05-16,La Liga,Matchweek 38,Home,Barcelona,Valladolid,Y,,,,,61,2-0,Jacobo,,,,,,
610,2010-05-08,La Liga,Matchweek 37,Away,Barcelona,Sevilla,Y,,,,,5,0-0,Andrés Palop,,,,,,
611,2010-05-04,La Liga,Matchweek 36,Home,Barcelona,Tenerife,Y,,,,,90+3,3-1,Sergio Aragoneses,,,,,,
612,2010-05-04,La Liga,Matchweek 36,Home,Barcelona,Tenerife,Y,,,,,17,0-0,Sergio Aragoneses,,,,,,
613,2010-05-01,La Liga,Matchweek 35,Away,Barcelona,Villarreal,Y,,,,,87,3-1,Diego López,,,,,,
614,2010-05-01,La Liga,Matchweek 35,Away,Barcelona,Villarreal,Y,,,,,18,0-0,Diego López,,,,,,
615,2010-04-10,La Liga,Matchweek 31,Away,Barcelona,Real Madrid,Y,,,,,32,0-0,Iker Casillas,,,,,,
616,2010-04-06,Champions Lg,Quarter-finals,Home,Barcelona,Arsenal,Y,,,,,88,3-1,,,,,,,
617,2010-04-06,Champions Lg,Quarter-finals,Home,Barcelona,Arsenal,Y,,,,,42,2-1,,,,,,,
618,2010-04-06,Champions Lg,Quarter-finals,Home,Barcelona,Arsenal,Y,,,,,37,1-1,,,,,,,
619,2010-04-06,Champions Lg,Quarter-finals,Home,Barcelona,Arsenal,Y,,,,,21,0-1,,,,,,,
620,2010-04-03,La Liga,Matchweek 30,Home,Barcelona,Athletic Club,Y,,,,,66,3-0,Gorka Iraizoz,,,,,,
621,2010-03-21,La Liga,Matchweek 27,Away,Barcelona,Zaragoza,Y,,,,,78,2-0,Roberto,,,,,,
622,2010-03-21,La Liga,Matchweek 27,Away,Barcelona,Zaragoza,Y,,,,,65,1-0,Roberto,,,,,,
623,2010-03-21,La Liga,Matchweek 27,Away,Barcelona,Zaragoza,Y,,,,,4,0-0,Roberto,,,,,,
624,2010-03-17,Champions Lg,Round of 16,Home,Barcelona,Stuttgart,Y,,,,,60,2-0,,,,,,,
625,2010-03-17,Champions Lg,Round of 16,Home,Barcelona,Stuttgart,Y,,,,,13,0-0,,,,,,,
626,2010-03-14,La Liga,Matchweek 26,Home,Barcelona,Valencia,Y,,,,,82,2-0,César Sánchez,,,,,,
627,2010-03-14,La Liga,Matchweek 26,Home,Barcelona,Valencia,Y,,,,,81,1-0,César Sánchez,,,,,,
628,2010-03-14,La Liga,Matchweek 26,Home,Barcelona,Valencia,Y,,,,,56,0-0,César Sánchez,,,,,,
629,2010-03-06,La Liga,Matchweek 25,Away,Barcelona,Almería,Y,,,,,66,1-2,Diego Alves,,,,,,
630,2010-03-06,La Liga,Matchweek 25,Away,Barcelona,Almería,Y,,,,,42,0-1,Diego Alves,,,,,,
631,2010-02-27,La Liga,Matchweek 24,Home,Barcelona,Málaga,Y,,,,,83,1-1,Gustavo Munúa,,,,,,
632,2010-02-06,La Liga,Matchweek 21,Home,Barcelona,Getafe,Y,,,,,7,0-0,Jordi Codina,,,,,,
633,2010-01-23,La Liga,Matchweek 19,Away,Barcelona,Valladolid,Y,,,,,56,2-0,Justo Villar,,,,,,
634,2010-01-16,La Liga,Matchweek 18,Home,Barcelona,Sevilla,Y,,,,,90+1,3-0,Andrés Palop,,,,,,
635,2010-01-16,La Liga,Matchweek 18,Home,Barcelona,Sevilla,Y,,,,,85,2-0,Andrés Palop,,,,,,
636,2010-01-10,La Liga,Matchweek 17,Away,Barcelona,Tenerife,Y,,,,,75,3-0,Sergio Aragoneses,,,,,,
637,2010-01-10,La Liga,Matchweek 17,Away,Barcelona,Tenerife,Y,,,,,45,2-0,Sergio Aragoneses,,,,,,
638,2010-01-10,La Liga,Matchweek 17,Away,Barcelona,Tenerife,Y,,,,,36,0-0,Sergio Aragoneses,,,,,,
639,2009-12-09,Champions Lg,Group stage,Away,Barcelona,Dynamo Kyiv,Y,,,,,86,1-1,,,,,,,
640,2009-12-05,La Liga,Matchweek 13,Away,Barcelona,La Coruña,Y,,,,,79,1-1,Daniel Aranzubia,,,,,,
641,2009-12-05,La Liga,Matchweek 13,Away,Barcelona,La Coruña,Y,,,,,25,0-0,Daniel Aranzubia,,,,,,
642,2009-11-07,La Liga,Matchweek 10,Home,Barcelona,Mallorca,N,,,,,87,3-1,Dudu Aouate,,,,,,
643,2009-10-25,La Liga,Matchweek 8,Home,Barcelona,Zaragoza,Y,,,,,80,4-1,Juan Pablo Carrizo,,,,,,
644,2009-09-29,Champions Lg,Group stage,Home,Barcelona,Dynamo Kyiv,Y,,,,,26,0-0,,,,,,,
645,2009-09-22,La Liga,Matchweek 4,Away,Barcelona,Racing Sant,Y,,,,,63,3-0,Toño,,,,,,
646,2009-09-22,La Liga,Matchweek 4,Away,Barcelona,Racing Sant,Y,,,,,23,1-0,Toño,,,,,,
647,2009-09-19,La Liga,Matchweek 3,Home,Barcelona,Atlético Madrid,Y,,,,,90+4,4-2,Roberto,,,,,,
648,2009-09-19,La Liga,Matchweek 3,Home,Barcelona,Atlético Madrid,Y,,,,,16,1-0,Roberto,,,,,,
649,2009-09-12,La Liga,Matchweek 2,Away,Barcelona,Getafe,N,,,,,80,1-0,Óscar Ustari,,,,,,
650,2009-05-27,Champions Lg,Final,Neutral,Barcelona,Manchester Utd,Y,,,,,70,1-0,,,,,,,
651,2009-05-02,La Liga,Matchweek 34,Away,Barcelona,Real Madrid,Y,,,,,75,4-2,Iker Casillas,,,,,,
652,2009-05-02,La Liga,Matchweek 34,Away,Barcelona,Real Madrid,Y,,,,,36,2-1,Iker Casillas,,,,,,
653,2009-04-25,La Liga,Matchweek 33,Away,Barcelona,Valencia,Y,,,,,24,0-0,César Sánchez,,,,,,
654,2009-04-18,La Liga,Matchweek 31,Away,Barcelona,Getafe,Y,,,,,19,0-0,Vladimir Stojković,,,,,,
655,2009-04-08,Champions Lg,Quarter-finals,Home,Barcelona,Bayern Munich,Y,,,,,38,2-0,,,,,,,
656,2009-04-08,Champions Lg,Quarter-finals,Home,Barcelona,Bayern Munich,Y,,,,,9,0-0,,,,,,,
657,2009-03-22,La Liga,Matchweek 28,Home,Barcelona,Málaga,Y,,,,,25,1-0,Iñaki Goitia,,,,,,
658,2009-03-11,Champions Lg,Round of 16,Home,Barcelona,Lyon,Y,,,,,40,2-0,,,,,,,
659,2009-03-07,La Liga,Matchweek 26,Home,Barcelona,Athletic Club,Y,,,,,31,1-0,Gorka Iraizoz,,,,,,
660,2009-03-01,La Liga,Matchweek 25,Away,Barcelona,Atlético Madrid,Y,,,,,30,1-0,Leo Franco,,,,,,
661,2009-02-01,La Liga,Matchweek 21,Away,Barcelona,Racing Sant,N,,,,,80,1-1,Toño,,,,,,
662,2009-02-01,La Liga,Matchweek 21,Away,Barcelona,Racing Sant,N,,,,,64,0-1,Toño,,,,,,
663,2009-01-24,La Liga,Matchweek 20,Home,Barcelona,Numancia,Y,,,,,75,3-1,Juan Pablo Colinas,,,,,,
664,2009-01-24,La Liga,Matchweek 20,Home,Barcelona,Numancia,Y,,,,,49,0-0,Juan Pablo Colinas,,,,,,
665,2009-01-17,La Liga,Matchweek 19,Home,Barcelona,La Coruña,Y,,,,,21,0-0,Daniel Aranzubia,,,,,,
666,2009-01-11,La Liga,Matchweek 18,Away,Barcelona,Osasuna,Y,,,,,85,2-2,Roberto,,,,,,
667,2008-12-13,La Liga,Matchweek 15,Home,Barcelona,Real Madrid,Y,,,,,90+1,1-0,Iker Casillas,,,,,,
668,2008-11-29,La Liga,Matchweek 13,Away,Barcelona,Sevilla,Y,,,,,90+2,2-0,Andrés Palop,,,,,,
669,2008-11-29,La Liga,Matchweek 13,Away,Barcelona,Sevilla,Y,,,,,78,1-0,Andrés Palop,,,,,,
670,2008-11-26,Champions Lg,Group stage,Away,Barcelona,Sporting CP,Y,,,,,49,2-0,,,,,,,
671,2008-11-16,La Liga,Matchweek 11,Away,Barcelona,Recreativo,Y,,,,,51,0-0,Asier Riesgo,,,,,,
672,2008-11-04,Champions Lg,Group stage,Home,Barcelona,Basel,N,,,,,62,0-0,,,,,,,
673,2008-11-01,La Liga,Matchweek 9,Away,Barcelona,Málaga,Y,,,,,19,1-1,Francesc Arnau,,,,,,
674,2008-10-22,Champions Lg,Group stage,Away,Barcelona,Basel,Y,,,,,4,0-0,,,,,,,
675,2008-10-04,La Liga,Matchweek 6,Home,Barcelona,Atlético Madrid,Y,,,,,8,2-0,Grégory Coupet,,,,,,
676,2008-10-01,Champions Lg,Group stage,Away,Barcelona,Shakhtar,N,,,,,90+4,1-1,,,,,,,
677,2008-10-01,Champions Lg,Group stage,Away,Barcelona,Shakhtar,N,,,,,87,0-1,,,,,,,
678,2008-09-27,La Liga,Matchweek 5,Away,Barcelona,Espanyol,Y,,,,,90+13,1-1,Carlos Kameni,,,,,,
679,2008-09-21,La Liga,Matchweek 3,Away,Barcelona,Sporting Gijón,Y,,,,,89,5-1,Sergio Sánchez,,,,,,
680,2008-09-21,La Liga,Matchweek 3,Away,Barcelona,Sporting Gijón,Y,,,,,85,4-1,Sergio Sánchez,,,,,,
681,2008-09-13,La Liga,Matchweek 2,Home,Barcelona,Racing Sant,N,,,,,70,0-0,Toño,,,,,,
682,2008-05-04,La Liga,Matchweek 35,Home,Barcelona,Valencia,Y,,,,,5,0-0,Timo Hildebrand,,,,,,
683,2008-02-24,La Liga,Matchweek 25,Home,Barcelona,Levante,Y,,,,,44,1-1,Vladan Kujović,,,,,,
684,2008-02-20,Champions Lg,Round of 16,Away,Barcelona,Celtic,Y,,,,,79,2-2,,,,,,,
685,2008-02-20,Champions Lg,Round of 16,Away,Barcelona,Celtic,Y,,,,,18,0-1,,,,,,,
686,2007-11-27,Champions Lg,Group stage,Away,Barcelona,Lyon,Y,,,,,58,1-1,,,,,,,
687,2007-11-24,La Liga,Matchweek 13,Home,Barcelona,Recreativo,Y,,,,,81,2-0,Stefano Sorrentino,,,,,,
688,2007-11-07,Champions Lg,Group stage,Home,Barcelona,Rangers,Y,,,,,43,1-0,,,,,,,
689,2007-10-28,La Liga,Matchweek 9,Home,Barcelona,Almería,N,,,,,80,1-0,David Cobeño,,,,,,
690,2007-10-07,La Liga,Matchweek 7,Home,Barcelona,Atlético Madrid,Y,,,,,19,1-0,Christian Abbiati,,,,,,
691,2007-10-02,Champions Lg,Group stage,Away,Barcelona,Stuttgart,Y,,,,,67,1-0,,,,,,,
692,2007-09-29,La Liga,Matchweek 6,Away,Barcelona,Levante,Y,,,,,50,3-0,Marco Storari,,,,,,
693,2007-09-26,La Liga,Matchweek 5,Home,Barcelona,Zaragoza,Y,,,,,10,1-1,César Sánchez,,,,,,
694,2007-09-26,La Liga,Matchweek 5,Home,Barcelona,Zaragoza,Y,,,,,4,0-0,César Sánchez,,,,,,
695,2007-09-22,La Liga,Matchweek 4,Home,Barcelona,Sevilla,Y,,,,,79,1-0,Andrés Palop,,,,,,
696,2007-09-22,La Liga,Matchweek 4,Home,Barcelona,Sevilla,Y,,,,,72,0-0,Andrés Palop,,,,,,
697,2007-09-19,Champions Lg,Group stage,Home,Barcelona,Lyon,Y,,,,,82,1-0,,,,,,,
698,2007-06-17,La Liga,Matchweek 38,Away,Barcelona,Gimnàstic,Y,,,,,50,3-0,Rubén Pérez,,,,,,
699,2007-06-17,La Liga,Matchweek 38,Away,Barcelona,Gimnàstic,Y,,,,,33,1-0,Rubén Pérez,,,,,,
700,2007-06-09,La Liga,Matchweek 37,Home,Barcelona,Espanyol,Y,,,,,56,1-1,Carlos Kameni,,,,,,
701,2007-06-09,La Liga,Matchweek 37,Home,Barcelona,Espanyol,Y,,,,,42,0-1,Carlos Kameni,,,,,,
702,2007-05-20,La Liga,Matchweek 35,Away,Barcelona,Atlético Madrid,Y,,,,,79,4-0,Iván Cuéllar,,,,,,
703,2007-05-20,La Liga,Matchweek 35,Away,Barcelona,Atlético Madrid,Y,,,,,38,0-0,Iván Cuéllar,,,,,,
704,2007-03-31,La Liga,Matchweek 28,Home,Barcelona,La Coruña,Y,,,,,44,0-0,Dudu Aouate,,,,,,
705,2007-03-17,La Liga,Matchweek 27,Away,Barcelona,Recreativo,Y,,,,,85,3-0,Javier López Vallejo,,,,,,
706,2007-03-10,La Liga,Matchweek 26,Home,Barcelona,Real Madrid,Y,,,,,90+1,2-3,Iker Casillas,,,,,,
707,2007-03-10,La Liga,Matchweek 26,Home,Barcelona,Real Madrid,Y,,,,,27,1-2,Iker Casillas,,,,,,
708,2007-03-10,La Liga,Matchweek 26,Home,Barcelona,Real Madrid,Y,,,,,10,0-1,Iker Casillas,,,,,,
709,2006-10-15,La Liga,Matchweek 6,Home,Barcelona,Sevilla,Y,,,,,81,2-1,Andrés Palop,,,,,,
710,2006-09-27,Champions Lg,Group stage,Away,Barcelona,Werder Bremen,N,,,,,89,0-1,,,,,,,
711,2006-09-09,La Liga,Matchweek 2,Home,Barcelona,Osasuna,Y,,,,,36,2-0,Ricardo,,,,,,
712,2006-08-28,La Liga,Matchweek 1,Away,Barcelona,Celta Vigo,Y,,,,,59,1-1,José Manuel Pinto,,,,,,
,,,,,,,,,,,,,,,,,,,,
713,2006-06-16,FIFA World Cup,Group stage,Neutral,Argentina,Serbia & Montenegro,N,,,,,88,5-0,Dragoslav Jevrić,,,,,,
,,,,,,,,,,,,,,,,,,,,
714,2006-02-18,La Liga,Matchweek 24,Home,Barcelona,Betis,N,,,,,84,4-1,Toni Doblas,,,,,,
715,2006-01-29,La Liga,Matchweek 21,Away,Barcelona,Mallorca,N,,,,,83,2-0,Miguel Ángel Moyá,,,,,,
716,2006-01-29,La Liga,Matchweek 21,Away,Barcelona,Mallorca,N,,,,,75,1-0,Miguel Ángel Moyá,,,,,,
717,2006-01-22,La Liga,Matchweek 20,Home,Barcelona,Alavés,N,,,,,82,1-0,Franco Costanzo,,,,,,
718,2006-01-15,La Liga,Matchweek 19,Home,Barcelona,Athletic Club,Y,,,,,50,1-1,Iñaki Lafuente,,,,,,
719,2005-11-27,La Liga,Matchweek 13,Home,Barcelona,Racing Sant,Y,,,,,52,1-0,Dudu Aouate,,,,,,
720,2005-11-02,Champions Lg,Group stage,Home,Barcelona,Panathinaikos,Y,,,,,34,2-0,,,,,,,
721,2005-05-01,La Liga,Matchweek 34,Home,Barcelona,Albacete,N,,,,,90+1,1-0,Raúl Valbuena,,,,,,
